,text,result
7607,assure,0.000000000103501
68740,tack,0.000000000208754
14050,caution,0.000000001790157
35032,hurry,0.000000007418585
73172,undoubtedly,0.000000007418585
47588,neglect,0.000000007418585
20848,devise,0.000000008357243
72973,uncover,0.000000008357243
74043,upto,0.000000008357243
2782,59,0.000000008357243
34009,hinder,0.000000008357243
9787,belive,0.000000008357243
19862,decker,0.000000008357243
36090,independence,0.000000008357243
28623,forgot,0.000000008755067
30358,getaway,0.000000012567872
61916,secondhand,0.000000012567872
21696,disparate,0.000000012567872
40316,lava,0.000000012567872
54863,preheat,0.000000012567872
65995,springy,0.000000012567872
16338,columbus,0.000000012567872
7922,audiovox,0.000000012567872
42881,majestic,0.000000012567872
5807,amatuer,0.000000012567872
75084,viewable,0.000000012567872
62076,selective,0.000000012567872
62079,selector,0.000000012567872
13617,caregiver,0.000000012567872
5970,amidst,0.000000012567872
25699,evolves,0.000000012567872
52206,pedigree,0.000000012567872
47292,nasal,0.000000012567872
16457,comingofage,0.000000012567872
74932,vey,0.000000012567872
66665,stern,0.000000012567872
31957,gui,0.000000012567872
28935,frantically,0.000000012567872
17827,corridor,0.000000012567872
18979,cuss,0.000000012567872
23438,earnest,0.000000012567872
58241,reich,0.000000012567872
30207,generosity,0.000000012567872
64991,solitary,0.000000012567872
29175,frightens,0.000000012567872
78797,yuppie,0.000000012567872
75475,voluntary,0.000000012567872
27274,ferocious,0.000000012567872
15268,chucked,0.000000012567872
43537,massachusetts,0.000000012567872
17278,constitutes,0.000000012567872
17835,corrosion,0.000000012567872
5471,allergen,0.000000012567872
5483,alli,0.000000012567872
25212,escapist,0.000000012567872
25225,escort,0.000000012567872
46639,muck,0.000000012567872
48838,notoriously,0.000000012567872
8038,autobiographical,0.000000012567872
25780,exceedingly,0.000000012567872
47372,nausea,0.000000012567872
71752,treatise,0.000000012567872
57758,recommand,0.000000012567872
50105,onward,0.000000012567872
38472,joshua,0.000000012567872
22190,dominates,0.000000012567872
13192,camer,0.000000012567872
76979,whoa,0.000000012567872
38585,juggernaut,0.000000012567872
50001,onetime,0.000000012567872
76973,whiz,0.000000012567872
70332,thr,0.000000012567872
21867,disturbingly,0.000000012567872
38734,juxtapose,0.000000012567872
896,1800s,0.000000012567872
1652,25th,0.000000012567872
57904,redefine,0.000000012567872
41097,lighthouse,0.000000012567872
49823,omelet,0.000000012567872
9165,basting,0.000000012567872
35299,iconic,0.000000012567872
13128,callous,0.000000012567872
47855,newsprint,0.000000012567872
41688,logistics,0.000000012567872
16588,companionship,0.000000012567872
16488,commendable,0.000000012567872
28575,forerunner,0.000000012567872
56098,publishes,0.000000012567872
76842,wherein,0.000000012567872
35594,imbue,0.000000012567872
25951,exhaustion,0.000000012567872
69596,terrier,0.000000012567872
47510,necessitate,0.000000012567872
14663,chatter,0.000000012567872
16132,cohesive,0.000000012567872
50343,opus,0.000000012567872
1876,2yr,0.000000012567872
26057,expectant,0.000000012567872
56050,psychopath,0.000000012567872
24440,emphatically,0.000000012567872
8886,banker,0.000000012567872
55080,pretense,0.000000012567872
35473,ikea,0.000000012567872
72743,umm,0.000000012567872
34014,hindrance,0.000000012567872
57599,reccomendation,0.000000012567872
58275,reinforces,0.000000012567872
39000,keira,0.000000012567872
24034,elasticity,0.000000012567872
56666,query,0.000000012567872
18874,cunning,0.000000012567872
77386,wisecrack,0.000000012567872
51912,pasture,0.000000012567872
56360,purveyor,0.000000012567872
58364,relearn,0.000000012567872
36885,interchangable,0.000000012567872
49257,obligate,0.000000012567872
16106,coffin,0.000000012567872
32568,handicapped,0.000000012567872
18379,creed,0.000000012567872
23603,ebert,0.000000012567872
